px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	4.94066e-324
0.0359199	-0.0359199	0	0	0	0	0	0	0	0	0	0.608219
1.24962	0.0152267	1.03618	2.08103e-16	2.7631e-16	1.55944	-0.138501	2.09897	0.0522228	2.19595	0.109339	21.6796
1.4541	0.0303621	1.54143	0.0120401	0.00790853	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	13.6712
3.66648	-0.12908	2.21005	-0.154888	-0.0757426	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	10.6915
3.77087	0.0728818	2.33109	0.0415428	0.0247717	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	5.82125
6.66641	0.391349	2.88186	0.184899	0.110147	6.86352	0.416818	6.56942	0.496096	2.36382	0.348847	7.77477
6.59646	0.428163	2.73779	0.22192	0.148699	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.5821
9.11832	0.629776	2.59333	0.0884833	-0.0401931	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	1.07223
9.07739	0.689367	2.56866	0.123954	-0.0154059	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.16604
11.5531	1.63061	2.64765	0.460493	0.228041	11.5755	1.6669	11.3468	1.427	2.49328	0.600781	1.1383
11.5368	1.5995	2.63434	0.443254	0.214669	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.411813
13.6615	2.37417	2.36409	0.422867	0.0694847	13.5921	2.31191	13.827	2.07904	2.5429	0.724947	2.06719
13.6864	2.3384	2.43035	0.387349	0.0333779	13.6572	1.99915	13.827	2.07904	2.5429	0.724947	1.32798
16.4967	2.88047	2.80176	0.074835	-0.204802	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	4.9458
16.4613	2.87578	2.77155	0.0804244	-0.200807	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.442941
19.0343	3.67223	2.69597	0.305647	0.078771	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	1.43063
19.0732	3.69792	2.67931	0.328413	0.104664	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.5329
21.3576	4.73635	2.60815	0.49312	0.147968	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.155765
21.4259	4.73799	2.72338	0.463778	0.11034	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.181
24.0415	5.57848	2.77457	0.283496	-0.0885331	24.0787	5.56968	24.1437	5.83295	2.65286	1.14952	0.803356
24.1542	5.61347	2.93398	0.266513	-0.105824	24.5601	5.92334	24.1437	5.83295	2.65286	1.14952	3.75123
26.6457	6.94153	2.85128	0.521492	0.135395	26.6053	6.96102	26.7833	7.01246	2.6632	1.22647	1.20844
26.6526	6.92897	2.9147	0.494224	0.0956047	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.608396
29.5103	8.07066	3.10623	0.344455	-0.0823138	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	1.52557
29.5043	8.07266	3.08569	0.347663	-0.0791009	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.0753441
31.9791	9.858	3.02788	0.694994	0.210463	31.9416	9.88017	32.0955	9.56901	2.67104	1.33358	1.55499
31.9424	9.83661	3.00294	0.685503	0.198071	31.7928	9.49891	32.0955	9.56901	2.67104	1.33358	0.846653
34.6312	10.7828	2.74761	0.304968	-0.194277	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	4.04953
34.7205	10.8159	2.87138	0.286373	-0.209028	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.39228
37.1823	12.0638	2.78959	0.455496	0.0463853	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	1.40577
37.2599	12.0832	2.91724	0.445596	0.028781	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.72483
40.2091	13.4169	3.27067	0.414932	-0.0211385	40.3285	13.4666	40.0971	13.6505	2.66232	1.36458	3.15738
40.1505	13.4048	3.16249	0.428479	-0.00508368	39.9009	13.6243	40.0971	13.6505	2.66232	1.36458	0.989551
42.7886	14.8317	3.10887	0.514546	0.0574335	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.146491
42.7729	14.8267	3.11655	0.510913	0.0499897	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.315165
45.3435	16.5387	3.1722	0.629266	0.0958879	45.3572	16.5524	45.4265	16.3307	2.64546	1.297	0.105408
45.3886	16.5515	3.21372	0.621707	0.0884763	45.649	16.5213	45.4265	16.3307	2.64546	1.297	0.743879
48.2098	17.3694	2.89447	0.235149	-0.23026	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	3.77729
48.1727	17.356	2.84416	0.238996	-0.229173	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.457899
50.6432	19.0162	2.80303	0.674016	0.230026	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	3.66403
50.644	18.9923	2.86017	0.637947	0.181352	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.666002
53.6461	19.9103	2.97433	0.165221	-0.278321	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	4.15733
53.6201	19.8897	2.90704	0.155747	-0.294443	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.341228
56.1084	21.0484	2.69166	0.41243	0.068562	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	3.62493
56.0751	21.0311	2.67475	0.401305	0.0571491	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.587962
58.6375	21.7893	2.73686	0.266332	-0.0749736	58.6632	21.7821	58.5483	21.9225	2.53033	0.869205	0.374314
58.6479	21.7973	2.7757	0.271915	-0.0672229	58.5799	21.9815	58.5483	21.9225	2.53033	0.869205	0.113718
60.9382	22.7883	2.59788	0.408318	0.0646456	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	1.09403
60.9183	22.7765	2.61047	0.401866	0.057278	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.557658
63.3763	23.4252	2.60397	0.233064	-0.0942486	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.387663
63.4369	23.4434	2.62979	0.223677	-0.106071	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	2.07464
66.2433	23.9734	2.90088	0.149581	-0.0759542	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.87426
66.1491	23.9226	2.69346	0.102833	-0.136042	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.21831
68.3647	24.3521	2.39352	0.137368	-0.0332939	68.2621	24.3582	68.4273	24.4824	2.30293	0.385623	2.29718
68.433	24.3811	2.48064	0.158518	-0.0114763	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.4571
70.8159	24.8755	2.5102	0.220386	0.0379562	70.8275	24.8844	70.7385	24.8137	2.22347	0.265395	0.0715093
70.7742	24.8589	2.41505	0.205802	0.0196981	70.7403	24.6728	70.7385	24.8137	2.22347	0.265395	0.628424
72.9559	24.757	2.23242	-0.0900837	-0.188254	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	1.67138
72.9889	24.773	2.27248	-0.0797122	-0.176696	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.400446
75.0427	25.2092	2.09204	0.204198	0.119801	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	2.18332
75.0269	25.2035	2.07383	0.198526	0.114973	74.9748	25.1378	75.1062	25.1224	2.04114	0.0423626	0.0756897
77.1231	24.9763	2.07378	-0.1537	-0.185561	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566979	1.59317
77.1276	24.9613	2.02746	-0.190977	-0.234344	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566979	0.502434
79.0999	24.9932	1.98127	-0.00884239	0.0331672	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.35637
79.0974	24.9941	1.95074	-0.0164853	0.0218213	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.152807
80.8453	24.8773	1.85108	-0.0628087	-0.0221996	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.312716
80.8669	24.8785	1.80953	-0.0847291	-0.0574494	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.25451
82.6146	24.6417	1.83187	-0.162345	-0.0693364	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0134049
82.5909	24.6277	1.77619	-0.194453	-0.106513	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.27263
84.1939	24.5243	1.67749	-0.0874127	0.0225806	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.464832
84.1957	24.5245	1.66846	-0.0907907	0.0173925	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.036354
